video_id,annotated_frames,positive_frames,target_width_median_px,target_height_median_px,sqrt_area_median_px,contrast_median,camera_displacement_median_px,negative_frames
phantom02,1799,1799,22.0,14.0,17.291616465790582,0.0820878110859728,4.121150925204407,0
phantom03,1799,1799,31.0,17.0,22.84731931759173,0.0537169312169312,3.621406625634375,0
phantom04,1499,1494,10.0,7.0,8.48528137423857,0.10531464858670735,3.072420368430698,5
phantom05,1799,1799,25.0,15.0,19.493588689617926,0.0937465085749399,4.552656874040647,0
phantom08,2788,2712,19.0,12.0,14.832396974191326,0.07745548092974561,0.9403861315166226,76
phantom110,3413,3412,20.0,14.0,17.146428199482248,0.044037431984825945,3.5707526024703946,1
phantom113,2698,2674,16.0,11.0,13.41640786499874,0.06600397902030686,0.5343506181676454,24
phantom119,3297,2932,15.0,12.0,13.41640786499874,0.0826920607986784,0.2025714853160179,365
phantom133,1799,1796,22.0,13.0,16.61324772583615,0.05724178439491735,0.5884116593480253,3
phantom135,2398,2390,15.0,10.0,12.409673645990855,0.10384293300653595,1.108670676709139,8
phantom136,1199,1194,19.0,12.0,15.198684153570664,0.16627149982800135,3.856928391265749,5
phantom141,1798,1759,18.0,11.0,13.674794331177344,0.1043500363108206,2.0002169796023987,39
phantom144,2698,2625,17.0,11.0,13.856406460551018,0.0864085253984634,0.5805364339059249,73
phantom22,2098,2098,11.0,8.0,9.38083151964686,0.04887147339211815,1.0522609932031672,0
phantom39,1349,1349,11.0,7.0,9.16515138991168,0.0762887671408432,0.812622160811173,0
phantom41,1798,1798,9.0,9.0,8.94427190999916,0.11930241618252235,2.6917368796725807,0
phantom45,1349,1349,13.0,9.0,10.816653826391969,0.1193899782135075,2.322775253817073,0
phantom47,2887,2798,36.0,23.0,28.77498913987632,0.07542058266039911,0.5273953259182204,89
phantom50,1798,1775,10.0,7.0,8.12403840463596,0.1333553293112117,0.7090499959457147,23
phantom54,1798,1798,11.0,7.0,8.774964387392123,0.1553446610125531,0.47163026468513275,0
phantom55,1708,1708,13.0,8.0,10.583005244258365,0.1768504901960784,0.28808238056706303,0
phantom56,2098,2098,12.0,8.0,9.539392014169456,0.12551440329218105,0.32710982538465017,0
phantom57,1798,1798,15.0,9.0,11.61895003862225,0.12051129680938395,0.6302584223365004,0
phantom58,2218,2218,13.0,9.0,10.488088481701515,0.08131683460421199,0.3188366827523665,0
phantom60,2248,2248,19.0,12.0,14.832396974191326,0.11233286049462521,0.1494460198604784,0
phantom61,1798,1798,10.0,7.0,8.48528137423857,0.09644445741259461,2.5656457427808554,0
phantom64,1798,1798,10.0,7.0,8.12403840463596,0.12529245340111345,1.0599660977440002,0
phantom73,1978,1950,9.0,6.0,7.745966692414834,0.04755291005291,1.1981138274069831,28
phantom79,1738,1738,14.0,9.0,11.40175425099138,0.0725651771125117,0.2915766731498729,0
phantom92,2398,2398,16.0,12.0,14.2828568570857,0.0687742812742812,0.7476418085325962,0
phantom93,1799,1799,29.0,17.0,22.58317958127243,0.0927478008747358,1.236671667165642,0
phantom94,2247,2247,12.0,9.0,10.488088481701515,0.0813026332327802,0.5899370505431384,0
phantom95,1799,1799,26.0,17.0,21.02379604162864,0.1566728850784578,0.695461450229693,0
phantom97,1798,1746,28.0,15.0,20.4939015319192,0.10749535461273241,1.1664000924038227,52
test31,3147,2940,14.0,11.0,12.409673645990855,0.03546417838697245,0.0563855507936174,207
