model,model_display,factor,factor_meaning,bin,positive_frames,videos_represented,top1_recall_iou50,video_cluster_bootstrap95_low,video_cluster_bootstrap95_high,center_precision_10px,prediction_present_rate,mean_top1_iou
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_sqrt_area_px,original-resolution square-root box area (px),<=12,31393,34,0.08406332621922084,0.048972120353195,0.12737752974465297,0.12024973720256107,0.3366674099321505,0.06870048030724317
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_sqrt_area_px,original-resolution square-root box area (px),12-20,28907,34,0.19386307814716158,0.11499889825186722,0.2888446543043442,0.21721382364133254,0.45795136126197805,0.14702004997541293
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_sqrt_area_px,original-resolution square-root box area (px),20-32,8977,24,0.42642308120753036,0.31256190708449166,0.5393202605762182,0.4360031190820987,0.5817088114069289,0.33459596055717916
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_sqrt_area_px,original-resolution square-root box area (px),>32,2356,10,0.6056876061120543,0.368260200068795,0.7341106639472917,0.6171477079796265,0.683786078098472,0.47228277399861457
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_contrast,absolute target/ring grayscale contrast normalized by 255,<=0.05,18090,35,0.14809286898839139,0.09504804701597433,0.19265341777572068,0.19115533443891652,0.4160309563294638,0.11992670479869062
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_contrast,absolute target/ring grayscale contrast normalized by 255,0.05-0.10,22218,35,0.1812044288414799,0.11395396861897032,0.26138408730043367,0.20001800342064993,0.4270411378161851,0.14170186087053604
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_contrast,absolute target/ring grayscale contrast normalized by 255,>0.10,31325,35,0.21685554668794893,0.14249205503352785,0.3052801310453781,0.24006384676775738,0.4349880287310455,0.1661670512931268
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),<=350,17457,34,0.31677836970842643,0.20227972882182677,0.43737487296561156,0.3707968150312196,0.5464283668442459,0.2525672299265133
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),350-1400,36495,35,0.1435265104808878,0.09533982172096989,0.19896093631854309,0.16224140293190847,0.38320317851760516,0.11095246116158111
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_context_laplacian_var,local Laplacian variance (low values indicate blur or weak texture),>1400,17681,32,0.15440303150274307,0.0774056363498022,0.22865544054902842,0.1712572818279509,0.4024659238730841,0.11677578833030001
fasterrcnn_r50_fpn_v2,Faster R-CNN,context_edge_density,surrounding-ring Canny edge density,<=0.06,17945,33,0.3148509334076344,0.20285634761406166,0.429879309046749,0.37570353859013655,0.5200891613262747,0.2532820582911159
fasterrcnn_r50_fpn_v2,Faster R-CNN,context_edge_density,surrounding-ring Canny edge density,0.06-0.22,34738,35,0.14131498647014795,0.09348153611346861,0.19366642497045228,0.1588750071967298,0.4008290632736485,0.10916446723858844
fasterrcnn_r50_fpn_v2,Faster R-CNN,context_edge_density,surrounding-ring Canny edge density,>0.22,18950,32,0.15509234828496044,0.09037799445387455,0.22634379408323882,0.16680738786279684,0.38960422163588393,0.11533968957355781
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_displacement_per_frame,target-center displacement per annotated frame (px),<=1,16177,35,0.16758360635470113,0.11092302122604056,0.2313834311908258,0.2005934351239414,0.4071212214872968,0.1305381566313957
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_displacement_per_frame,target-center displacement per annotated frame (px),1-4,36396,35,0.17144741180349488,0.12062361430545056,0.2323708186292145,0.2007088691064952,0.4249642817892076,0.13434883360281885
fasterrcnn_r50_fpn_v2,Faster R-CNN,target_displacement_per_frame,target-center displacement per annotated frame (px),>4,18975,35,0.23910408432147562,0.1558584898998095,0.33840923086097996,0.25623188405797104,0.4507509881422925,0.18519616219977147
fasterrcnn_r50_fpn_v2,Faster R-CNN,camera_displacement_px,phase-correlation camera displacement magnitude (px),<=0.5,29448,35,0.19770442814452593,0.12398287393410243,0.2803087435275851,0.21763787014398261,0.43473240967128496,0.15146275150733615
fasterrcnn_r50_fpn_v2,Faster R-CNN,camera_displacement_px,phase-correlation camera displacement magnitude (px),0.5-3,26138,35,0.17805493916902593,0.12059873930415428,0.24767966831091842,0.2102303160149973,0.41602264901675723,0.1404596852063157
fasterrcnn_r50_fpn_v2,Faster R-CNN,camera_displacement_px,phase-correlation camera displacement magnitude (px),>3,16047,31,0.18832180469869758,0.1277589014827377,0.2493646807565106,0.219231008911323,0.4339751978562971,0.14902340363160504
retinanet_resnet50_fpn_v2,RetinaNet,target_sqrt_area_px,original-resolution square-root box area (px),<=12,31393,34,0.11148982257191094,0.07192417704418155,0.15952395662796784,0.14656133532953206,0.38846239607555827,0.08750385332362168
