model,display,feature,feature_label,standardization,log_odds_coefficient,robust_se,odds_ratio,odds_ratio_ci95_low,odds_ratio_ci95_high,p_value,frames,clusters,converged
fasterrcnn_r50_fpn_v2,Faster R-CNN,log_size,Target scale,one dataset standard deviation,1.2813325657550751,0.20462295210569498,3.6014356792530453,2.4115545465790134,5.378414089864285,3.80265910233832e-10,71633,35,True
fasterrcnn_r50_fpn_v2,Faster R-CNN,contrast,Local contrast,one dataset standard deviation,0.2675339367797917,0.11033352968825083,1.3067379755625304,1.0526178150407972,1.6222071414505543,0.015317895275217926,71633,35,True
fasterrcnn_r50_fpn_v2,Faster R-CNN,log_blur,Laplacian variance,one dataset standard deviation,-0.5119079339393608,0.25233584419421123,0.5993509651878243,0.3655010275068459,0.9828196159170806,0.04249119577698005,71633,35,True
fasterrcnn_r50_fpn_v2,Faster R-CNN,clutter,Edge-density clutter,one dataset standard deviation,0.07180977077583986,0.32020092301216274,1.0744509326546012,0.5736223429402432,2.012552022930191,0.8225513253597095,71633,35,True
fasterrcnn_r50_fpn_v2,Faster R-CNN,log_target_motion,Target displacement,one dataset standard deviation,-0.14146287261191182,0.08430787124647424,0.8680874048045674,0.7358666930326956,1.0240655671948538,0.09336038023087585,71633,35,True
fasterrcnn_r50_fpn_v2,Faster R-CNN,log_camera_motion,Camera displacement,one dataset standard deviation,0.020571092209829396,0.07505084691524164,1.0207841354636298,0.8811489767455197,1.1825471954388538,0.7840113056736253,71633,35,True
retinanet_resnet50_fpn_v2,RetinaNet,log_size,Target scale,one dataset standard deviation,1.2511921547128804,0.26029366628733475,3.494506467549125,2.098067260473266,5.820392740406267,1.5332828204135392e-06,71633,35,True
retinanet_resnet50_fpn_v2,RetinaNet,contrast,Local contrast,one dataset standard deviation,0.2967807721820718,0.0996446727308704,1.3455202916348064,1.1068046980427488,1.6357220550315092,0.0028976630412985206,71633,35,True
retinanet_resnet50_fpn_v2,RetinaNet,log_blur,Laplacian variance,one dataset standard deviation,-0.5569673261100452,0.24664325381641627,0.5729439840563745,0.3533175315437373,0.9290928967835695,0.023933817258793517,71633,35,True
retinanet_resnet50_fpn_v2,RetinaNet,clutter,Edge-density clutter,one dataset standard deviation,-0.0660645690092177,0.30491536729586133,0.9360704212006097,0.5149431931790416,1.7016009630833777,0.828469219097198,71633,35,True
retinanet_resnet50_fpn_v2,RetinaNet,log_target_motion,Target displacement,one dataset standard deviation,-0.10876462953536495,0.06869721777963528,0.8969415061943021,0.7839491061346263,1.0262197625313028,0.11336529192594735,71633,35,True
retinanet_resnet50_fpn_v2,RetinaNet,log_camera_motion,Camera displacement,one dataset standard deviation,0.0018372997957869439,0.07192876805389001,1.0018389886652181,0.8701035202753824,1.1535194787995895,0.9796215925433475,71633,35,True
fcos_resnet50_fpn,FCOS,log_size,Target scale,one dataset standard deviation,1.9681480659017168,0.26907793723647516,7.157409156953656,4.223884950427093,12.128291002543552,2.585024619938829e-13,71633,35,True
fcos_resnet50_fpn,FCOS,contrast,Local contrast,one dataset standard deviation,0.14238207495286712,0.13361730297909374,1.1530171033436871,0.8873570519008771,1.4982113882513821,0.28660626970377456,71633,35,True
fcos_resnet50_fpn,FCOS,log_blur,Laplacian variance,one dataset standard deviation,-0.24657183393374532,0.2753027071051701,0.7814752230813073,0.4555885680228586,1.3404715727180796,0.37044561354855365,71633,35,True
fcos_resnet50_fpn,FCOS,clutter,Edge-density clutter,one dataset standard deviation,0.25828402898181135,0.21077890049860215,1.2947065005747036,0.8565499741409449,1.9569960577157948,0.22043247214006711,71633,35,True
fcos_resnet50_fpn,FCOS,log_target_motion,Target displacement,one dataset standard deviation,-0.050225858447717035,0.06478060963104638,0.951014605559723,0.8376157186338886,1.0797657683203412,0.4381491698251292,71633,35,True
fcos_resnet50_fpn,FCOS,log_camera_motion,Camera displacement,one dataset standard deviation,0.05399189686085057,0.0618253743280439,1.0554760494511306,0.9350214237801371,1.1914483054956406,0.38250136571071713,71633,35,True
yolov8s,YOLOv8s,log_size,Target scale,one dataset standard deviation,1.0053674501939056,0.25979566295569567,2.732911297136226,1.6424153796339702,4.547451424669021,0.00010890714391396529,71633,35,True
yolov8s,YOLOv8s,contrast,Local contrast,one dataset standard deviation,0.18554896214225783,0.1510362367650524,1.2038791428339861,0.895402391847632,1.6186297956609887,0.21925698140576755,71633,35,True
yolov8s,YOLOv8s,log_blur,Laplacian variance,one dataset standard deviation,-0.3614044154479572,0.22033792040135033,0.6966971863814123,0.4523646215796362,1.0729994043672726,0.10095777998033033,71633,35,True
yolov8s,YOLOv8s,clutter,Edge-density clutter,one dataset standard deviation,-0.139923860563048,0.2712504989286211,0.8694244303653504,0.5109033536517131,1.4795339171553301,0.6059610043854564,71633,35,True
yolov8s,YOLOv8s,log_target_motion,Target displacement,one dataset standard deviation,-0.11271114859192913,0.10221018276829577,0.8934086852054707,0.7312183913915365,1.0915741291484784,0.2701405512514138,71633,35,True
yolov8s,YOLOv8s,log_camera_motion,Camera displacement,one dataset standard deviation,0.03734786748739252,0.11745301136643026,1.0380540632958262,0.8245973810073761,1.3067665058656501,0.7504990814132646,71633,35,True
rtdetr_l,RT-DETR-L,log_size,Target scale,one dataset standard deviation,1.0387515101763953,0.14717639235421293,2.8256869697712714,2.117605101794523,3.7705362743831863,1.690768781902053e-12,71633,35,True
rtdetr_l,RT-DETR-L,contrast,Local contrast,one dataset standard deviation,0.2654748825981159,0.08024216867790557,1.3040500994605075,1.1142708357170013,1.5261519976951623,0.0009382362329928294,71633,35,True
rtdetr_l,RT-DETR-L,log_blur,Laplacian variance,one dataset standard deviation,-0.44925781755938,0.23688144699665567,0.6381015636968856,0.40109961997128857,1.015143334270815,0.057887182530777265,71633,35,True
rtdetr_l,RT-DETR-L,clutter,Edge-density clutter,one dataset standard deviation,-0.08743777758213103,0.2403450562993531,0.9162758827780356,0.5720584612005352,1.4676148511093519,0.7160065979697953,71633,35,True
rtdetr_l,RT-DETR-L,log_target_motion,Target displacement,one dataset standard deviation,-0.06212558550756843,0.061779316451251405,0.9397648585331708,0.8325907569167962,1.0607347991759268,0.3146056490140925,71633,35,True
rtdetr_l,RT-DETR-L,log_camera_motion,Camera displacement,one dataset standard deviation,0.03502054061588913,0.060629392450171515,1.0356409812847431,0.919603142744498,1.1663207662769188,0.5635230294896874,71633,35,True
yolomg_paper,YOLOMG-Arch,log_size,Target scale,one dataset standard deviation,0.9399321888916146,0.18973308023138402,2.559807829037556,1.7648317351324743,3.712884345379309,7.271402513678306e-07,71633,35,True
yolomg_paper,YOLOMG-Arch,contrast,Local contrast,one dataset standard deviation,0.0069579455077719565,0.05268581384962693,1.006982208250921,0.9081858418906509,1.1165260687426486,0.8949329768933418,71633,35,True
yolomg_paper,YOLOMG-Arch,log_blur,Laplacian variance,one dataset standard deviation,-0.3275544829817786,0.10739911092904224,0.7206840251912713,0.5838817845251311,0.8895387352909242,0.0022893223141752014,71633,35,True
