model,display,operating_point,target_validation_absent_fpr,validation_threshold,validation_precision_iou50,validation_recall_iou50,validation_f1_iou50,validation_absent_fpr,validation_tp,validation_fp,validation_fn,validation_absent_frames,test_threshold,test_precision_iou50,test_recall_iou50,test_f1_iou50,test_absent_fpr,test_tp,test_fp,test_fn,test_absent_frames,test_absent_fpr_cluster_ci95_low,test_absent_fpr_cluster_ci95_high
fasterrcnn_r50_fpn_v2,Faster R-CNN,validation_F1,,0.33251282572746277,0.4948371723590151,0.29372937293729373,0.36863905325443785,0.10572687224669604,2492,2544,5992,454,0.33251282572746277,0.4341030423875989,0.18843270559658257,0.2627936180361541,0.45490981963927857,13498,17596,58135,998,0.19816204137070279,0.6487444126586804
fasterrcnn_r50_fpn_v2,Faster R-CNN,validation_absent_FPR<=0.05,0.05,0.6473795175552368,0.5440169931555345,0.2716878830740217,0.3623928936404371,0.046255506607929514,2305,1932,6179,454,0.6473795175552368,0.5047407283101192,0.16795331760501445,0.2520399291916748,0.2845691382765531,12031,11805,59602,998,0.10075736843379914,0.43466956521739125
fasterrcnn_r50_fpn_v2,Faster R-CNN,validation_absent_FPR<=0.10,0.1,0.38051605224609375,0.5023483765570758,0.28995756718529,0.3676855242508034,0.09911894273127753,2460,2437,6024,454,0.38051605224609375,0.4449246231155779,0.1854033755392068,0.26173841924263175,0.4308617234468938,13281,16569,58352,998,0.17435897435897435,0.6247700048398805
fasterrcnn_r50_fpn_v2,Faster R-CNN,validation_absent_FPR<=0.20,0.2,0.16069400310516357,0.45759125374713455,0.30586987270155586,0.3666548922642176,0.19823788546255505,2595,3076,5889,454,0.16069400310516357,0.3900590630815286,0.20190415032177908,0.2660791816910737,0.531062124248497,14463,22616,57170,998,0.2718075140199034,0.7288146535216815
retinanet_resnet50_fpn_v2,RetinaNet,validation_F1,,0.5650365948677063,0.5035829451809387,0.3313295615275813,0.3996871889663017,0.28854625550660795,2811,2771,5673,454,0.5650365948677063,0.4559296526896633,0.2156966761129647,0.29284888459278635,0.342685370741483,15451,18438,56182,998,0.222218887555022,0.4708810625054033
retinanet_resnet50_fpn_v2,RetinaNet,validation_absent_FPR<=0.05,0.05,0.9818180203437805,0.7248840803709428,0.22112211221122113,0.3388728323699422,0.048458149779735685,1876,712,6608,454,0.9818180203437805,0.8015560464892901,0.11649658676866807,0.20342742918434012,0.03206412825651302,8345,2066,63288,998,0.004885794867720664,0.08675121632440791
retinanet_resnet50_fpn_v2,RetinaNet,validation_absent_FPR<=0.10,0.1,0.9268506169319153,0.640560593569662,0.2747524752475248,0.38455827765404604,0.09911894273127753,2331,1308,6153,454,0.9268506169319153,0.6492369838420108,0.16154565633157902,0.2587164783080139,0.10721442885771543,11572,6252,60061,998,0.03304769165294953,0.17258905829434398
retinanet_resnet50_fpn_v2,RetinaNet,validation_absent_FPR<=0.20,0.2,0.7718419432640076,0.5538008001684566,0.30999528524281,0.3974911206831407,0.19823788546255505,2630,2119,5854,454,0.7718419432640076,0.5318761384335154,0.19566400960451188,0.28608460478644687,0.2374749498997996,14016,12336,57617,998,0.1365068291966515,0.3614969102919241
fcos_resnet50_fpn,FCOS,validation_F1,,0.23868565261363983,0.32072649572649575,0.17692126355492693,0.22804618656943182,0.5704845814977973,1501,3179,6983,454,0.23868565261363983,0.14836411545124065,0.08489104183825891,0.1079914757591902,0.41583166332665333,6081,34906,65552,998,0.3329905058134103,0.5553848396501457
fcos_resnet50_fpn,FCOS,validation_absent_FPR<=0.05,0.05,0.4155692458152771,0.6302843966179862,0.09665252239509665,0.16760347470618292,0.048458149779735685,820,481,7664,454,0.4155692458152771,0.3464714301442255,0.04393226585512264,0.07797710491104613,0.026052104208416832,3147,5936,68486,998,0.006377347913687768,0.07890028971511345
