model_a,model_b,videos,mean_recall_difference_a_minus_b,bootstrap95_low,bootstrap95_high,two_sided_bootstrap_p,resamples,holm_adjusted_p
fasterrcnn_r50_fpn_v2,retinanet_resnet50_fpn_v2,35,-0.02375283113926589,-0.04662277092362955,0.0010862660734294177,0.058,10000,0.116
fasterrcnn_r50_fpn_v2,fcos_resnet50_fpn,35,0.10779209019310254,0.0673519012821144,0.15586250613985717,0.0,10000,0.0
fasterrcnn_r50_fpn_v2,yolov8s,35,0.029816657510401853,-0.004540120751892391,0.06571842611062899,0.0864,10000,0.116
fasterrcnn_r50_fpn_v2,rtdetr_l,35,-0.16669103581391187,-0.20952031719629152,-0.1247850460079841,0.0,10000,0.0
fasterrcnn_r50_fpn_v2,yolomg_paper,35,-0.5538018340545448,-0.5992951457058419,-0.5028547948170021,0.0,10000,0.0
retinanet_resnet50_fpn_v2,fcos_resnet50_fpn,35,0.13154492133236842,0.09139257849290959,0.1783863913664086,0.0,10000,0.0
retinanet_resnet50_fpn_v2,yolov8s,35,0.053569488649667735,0.01974885779304207,0.08830979741817899,0.0016,10000,0.0048000000000000004
retinanet_resnet50_fpn_v2,rtdetr_l,35,-0.142938204674646,-0.18395589408721594,-0.10386592497329689,0.0,10000,0.0
retinanet_resnet50_fpn_v2,yolomg_paper,35,-0.5300490029152789,-0.5767936076470779,-0.4788043940662812,0.0,10000,0.0
fcos_resnet50_fpn,yolov8s,35,-0.07797543268270068,-0.12616616270379968,-0.035064439858825375,0.0,10000,0.0
fcos_resnet50_fpn,rtdetr_l,35,-0.2744831260070144,-0.3337755218534981,-0.21721706344238345,0.0,10000,0.0
fcos_resnet50_fpn,yolomg_paper,35,-0.6615939242476474,-0.7034389785739408,-0.6183071158018199,0.0,10000,0.0
yolov8s,rtdetr_l,35,-0.19650769332431367,-0.24545227158497102,-0.1510269522187048,0.0,10000,0.0
yolov8s,yolomg_paper,35,-0.5836184915649466,-0.6351626135381936,-0.5316527366667094,0.0,10000,0.0
rtdetr_l,yolomg_paper,35,-0.3871107982406329,-0.44036204622593267,-0.3321021412805045,0.0,10000,0.0
